dim_1,dim_2,dim_3,dim_4,value
22,22,1,3,1.0
22,22,1,4,1.0
22,22,1,5,1.0
22,22,1,6,1.0
22,22,1,7,1.0
22,22,1,8,1.0
22,22,1,9,1.0
22,22,1,10,1.0
22,22,1,11,1.0
22,22,1,12,1.0
22,22,1,13,1.0
22,22,1,14,1.0
22,22,1,15,1.0
22,22,1,16,1.0
22,22,1,17,1.0
22,22,1,18,1.0
22,22,1,19,1.0
22,22,1,20,1.0
22,22,1,21,1.0
22,22,1,22,1.0
22,22,1,23,1.0
22,22,1,24,1.0
22,22,1,25,1.0
22,22,1,26,1.0
22,22,1,27,1.0
22,22,1,28,1.0
22,22,1,29,1.0
22,22,1,30,1.0
22,22,1,31,1.0
22,22,1,32,1.0
22,22,1,33,1.0
22,22,1,34,1.0
22,22,1,35,1.0
22,22,1,36,1.0
22,22,1,37,1.0
22,22,1,38,1.0
22,22,1,39,1.0
22,22,1,40,1.0
22,22,1,41,1.0
22,22,1,42,1.0
22,22,1,43,1.0
22,22,1,44,1.0
22,22,1,45,1.0
22,22,1,46,1.0
22,22,1,47,1.0
22,22,1,48,1.0
22,22,1,49,1.0
22,22,1,50,1.0
22,22,1,51,1.0
22,22,1,52,1.0
22,22,1,53,1.0
22,22,1,54,1.0
22,22,1,55,1.0
